 Val loss, Val accuracy, Val real pre, Val real rec, Val real F1-Score, Val fake pre, Val fake rec, Val fake F1-Score, Val micro pre, Val micro rec, Val micro F1-Score, Val macro pre, Val macro rec, Val macro F1-Score
0.443787,0.809648,0.981323,0.818831,0.892743,0.955174,0.995979,0.97515,0.959648,0.959648,0.959648,0.968248,0.907405,0.933947
0.398034,0.826573,0.956122,0.877273,0.915002,0.968996,0.989613,0.979196,0.966573,0.966573,0.966573,0.962559,0.933443,0.947099
0.358754,0.84084,0.962062,0.872727,0.91522,0.967932,0.991121,0.979389,0.96684,0.96684,0.96684,0.964997,0.931924,0.947304
0.367997,0.835035,0.60243,0.933766,0.732366,0.980086,0.841012,0.905238,0.860035,0.860035,0.860035,0.791258,0.887389,0.818802
0.34216,0.848438,0.961729,0.881169,0.919688,0.96999,0.990953,0.98036,0.968438,0.968438,0.968438,0.96586,0.936061,0.950024
0.352733,0.843255,0.966581,0.244156,0.389839,0.836517,0.997822,0.910077,0.843255,0.843255,0.843255,0.901549,0.620989,0.649958
0.312016,0.893461,0.665326,0.966883,0.788248,0.990324,0.874518,0.928826,0.893461,0.893461,0.893461,0.827825,0.920701,0.858537
0.321197,0.883396,0.990574,0.750649,0.854082,0.939451,0.998157,0.967915,0.947396,0.947396,0.947396,0.965013,0.874403,0.910998
0.318037,0.88591,0.954188,0.865584,0.907729,0.966132,0.989278,0.977568,0.96391,0.96391,0.96391,0.96016,0.927431,0.942649
0.281774,0.889777,0.874704,0.961039,0.915842,0.989685,0.964483,0.976922,0.963777,0.963777,0.963777,0.932195,0.962761,0.946382
0.322189,0.877106,0.950523,0.885714,0.916975,0.971024,0.988105,0.97949,0.967106,0.967106,0.967106,0.960773,0.93691,0.948232
0.275317,0.889997,0.98141,0.822727,0.89509,0.956095,0.995979,0.97563,0.960447,0.960447,0.960447,0.968752,0.909353,0.93536
0.253005,0.890908,0.965893,0.864286,0.912269,0.965911,0.992126,0.978843,0.965908,0.965908,0.965908,0.965902,0.928206,0.945556
0.262233,0.900009,0.984791,0.840909,0.90718,0.960446,0.996649,0.978213,0.964709,0.964709,0.964709,0.972618,0.918779,0.942696
0.249776,0.91066,0.824944,0.957792,0.886418,0.988638,0.947562,0.967665,0.94966,0.94966,0.94966,0.906791,0.952677,0.927041
0.206824,0.917239,0.976436,0.861039,0.915114,0.965209,0.994639,0.979703,0.967239,0.967239,0.967239,0.970822,0.927839,0.947408
0.224407,0.908244,0.952074,0.864286,0.906059,0.965799,0.988775,0.977152,0.963244,0.963244,0.963244,0.958937,0.926531,0.941605
0.213673,0.908169,0.938083,0.914935,0.926364,0.978192,0.98442,0.981296,0.970169,0.970169,0.970169,0.958137,0.949677,0.95383
0.196096,0.916639,0.958304,0.880519,0.917766,0.969806,0.990116,0.979856,0.967639,0.967639,0.967639,0.964055,0.935318,0.948811
0.174476,0.931282,0.863121,0.79026,0.825085,0.94704,0.967666,0.957242,0.931282,0.931282,0.931282,0.905081,0.878963,0.891164
0.18668,0.934479,0.910658,0.754545,0.825284,0.939355,0.980901,0.959679,0.934479,0.934479,0.934479,0.925007,0.867723,0.892481
0.168167,0.939939,0.826243,0.895455,0.859458,0.972432,0.951416,0.961809,0.939939,0.939939,0.939939,0.899337,0.923435,0.910633
0.13943,0.950593,0.854028,0.915584,0.883736,0.977808,0.959625,0.968631,0.950593,0.950593,0.950593,0.915918,0.937605,0.926183
0.168321,0.943135,0.850662,0.876623,0.863447,0.967916,0.960295,0.96409,0.943135,0.943135,0.943135,0.909289,0.918459,0.913769
0.136427,0.952324,0.860366,0.916234,0.887421,0.97802,0.961635,0.969758,0.952324,0.952324,0.952324,0.919193,0.938934,0.92859
0.169855,0.948062,0.829324,0.94026,0.881315,0.984036,0.950075,0.966758,0.948062,0.948062,0.948062,0.90668,0.945168,0.924036
0.149318,0.948995,0.822644,0.957792,0.885089,0.988628,0.946725,0.967223,0.948995,0.948995,0.948995,0.905636,0.952258,0.926156
0.151019,0.950726,0.850299,0.922078,0.884735,0.979449,0.958117,0.968665,0.950726,0.950726,0.950726,0.914874,0.940097,0.9267
0.130344,0.955762,0.945538,0.935714,0.940601,0.983459,0.986095,0.984775,0.975762,0.975762,0.975762,0.964498,0.960905,0.962688
