0.047|0.144|0.071	0.031|0.180|0.053	0.016|0.220|0.031	0.010|0.254|0.019	0.006|0.297|0.012
0.071|0.235|0.109	0.051|0.302|0.087	0.029|0.387|0.054	0.018|0.448|0.034	0.011|0.518|0.021
0.074|0.206|0.109	0.049|0.251|0.082	0.026|0.309|0.048	0.016|0.357|0.030	0.010|0.415|0.019
0.064|0.181|0.095	0.044|0.227|0.074	0.026|0.299|0.048	0.017|0.362|0.032	0.011|0.441|0.021
0.069|0.135|0.092	0.049|0.183|0.077	0.029|0.267|0.052	0.018|0.350|0.035	0.011|0.435|0.022
0.054|0.204|0.086	0.037|0.268|0.065	0.020|0.332|0.037	0.012|0.407|0.024	0.007|0.472|0.014
0.0796|0.2945	0.0499|0.3547	0.0243|0.4216	0.0136|0.4659	0.0075|0.5079

0.031|0.111	0.022|0.149	0.013|0.198	0.009|0.236	0.005|0.275
0.045|0.184	0.034|0.253	0.022|0.337	0.014|0.403	0.009|0.467
0.054|0.171	0.039|0.231	0.023|0.303	0.014|0.363	0.009|0.420
0.058|0.176	0.046|0.254	0.029|0.355	0.019|0.431	0.012|0.506
0.022|0.067	0.020|0.107	0.016|0.175	0.012|0.240	0.008|0.311
0.031|0.152	0.024|0.215	0.014|0.299	0.009|0.358	0.005|0.401
0.0635|0.2466	0.0455|0.3369	0.0236|0.4141	0.0136|0.4689	0.0075|0.5146

0.011|0.030	0.008|0.047	0.006|0.080	0.004|0.118	0.003|0.170
0.016|0.044	0.014|0.052	0.012|0.062	0.008|0.095	0.006|0.140
0.024|0.033	0.018|0.048	0.014|0.073	0.010|0.121	0.007|0.167
0.013|0.029	0.010|0.043	0.007|0.072	0.005|0.106	0.004|0.155
0.021|0.048	0.016|0.073	0.010|0.119	0.007|0.167	0.005|0.225
0.005|0.019	0.004|0.031	0.003|0.056	0.002|0.088	0.002|0.138
0.0201|0.0669	0.0150|0.0965	0.0099|0.1534	0.0069|0.2108	0.0045|0.2787
				
0.016|0.045	0.013|0.068	0.009|0.118	0.006|0.167	0.004|0.226
0.023|0.094	0.020|0.167	0.019|0.248	0.013|0.314	0.008|0.396
0.028|0.073	0.023|0.114	0.016|0.182	0.011|0.244	0.007|0.320
0.032|0.073	0.027|0.119	0.020|0.207	0.014|0.280	0.009|0.359
0.028|0.068	0.022|0.105	0.016|0.175	0.012|0.246	0.008|0.323
0.029|0.119	0.017|0.135	0.011|0.203	0.007|0.260	0.005|0.331
0.0376|0.1298	0.0278|0.1893	0.0166|0.2695	0.0108|0.3538	0.0067|0.4385
				
0.027|0.101	0.020|0.134	0.011|0.177	0.007|0.211	0.005|0.247
0.041|0.167	0.032|0.231	0.020|0.316	0.014|0.376	0.009|0.433
0.048|0.153	0.035|0.206	0.021|0.279	0.013|0.326	0.008|0.370
0.052|0.158	0.042|0.231	0.027|0.336	0.018|0.409	0.011|0.477
0.021|0.061	0.018|0.096	0.013|0.145	0.010|0.193	0.007|0.255
0.029|0.139	0.022|0.198	0.012|0.260	0.008|0.304	0.005|0.355
0.0592|0.2379	0.0430|0.3245	0.0229|0.4047	0.0132|0.4551	0.0073|0.5038
				
0.0106|0.0318	0.0082|0.0483	0.0058|0.0816	0.0042|0.1176	0.0031|0.1692
0.0161|0.0413	0.0122|0.0637	0.0079|0.0965	0.0059|0.1374	0.0043|0.2010
0.004|0.017	0.003|0.026	0.003|0.055	0.002|0.087	0.002|0.135
