0.93	0.91	0.87	0.84	0.73	0.62
0.96	0.94	0.91	0.86	0.86	0.86
0.98	0.97	0.97	0.96	0.94	0.85
0.86	0.81	0.67	0.52	0.49	0.5
0.98	0.85	0.81	0.75	0.58	0.5
0.64	x	x	x	x	x
0.97	x	x	x	x	x
0.99	0.93	0.83	0.69	0.53	0.5
0.95	0.92	0.91	0.87	0.86	0.89
0.99	0.98	0.98	0.97	0.94	0.85
0.89	0.73	0.59	0.57	0.5	0.53
0.99	0.89	0.84	0.77	0.58	0.5
0.52	x	x	x	x	x
0.96	x	x	x	x	x
0.97	0.97	0.92	0.75	0.59	0.51
0.95	0.9	0.83	0.7	0.55	0.5
0.98	0.92	0.8	0.62	0.52	0.49
0.85	0.656	0.59	0.54	0.49	0.51
0.94	0.95	0.89	0.79	0.59	0.5
0.54	x	x	x	x	x
0.5	x	x	x	x	x
0.99	0.99	0.98	0.97	0.93	0.85
0.95	0.91	0.86	0.76	0.64	0.56
0.98	0.89	0.73	0.6	0.54	0.52
0.87	0.66	0.58	0.51	0.5	0.49
0.99	0.94	0.9	0.79	0.58	0.5
0.52	x	x	x	x	x
0.5	x	x	x	x	x
0.97	0.59	0.55	0.54	0.52	0.5
0.96	0.94	0.91	0.88	0.88	0.88
0.99	0.99	0.99	0.99	0.96	0.87
0.9	0.77	0.59	0.52	0.49	0.49
0.98	0.87	0.82	0.74	0.57	0.5
0.59	x	x	x	x	x
0.98	x	x	x	x	x
0.99	0.92	0.82	0.75	0.68	0.58
0.96	0.94	0.91	0.88	0.87	0.87
0.99	0.98	0.98	0.98	0.95	0.85
0.9	0.77	0.66	0.6	0.54	0.56
0.99	0.93	0.88	0.77	0.59	0.5
0.64	x	x	x	x	x
0.99	x	x	x	x	x
0.95	0.56	0.5	0.5	0.5	0.5
0.96	0.93	0.91	0.88	0.87	0.87
0.99	0.98	0.98	0.95	0.92	0.8
0.86	0.62	0.58	0.56	0.56	0.55
0.99	0.92	0.86	0.77	0.59	0.5
0.56	x	x	x	x	x
0.97	x	x	x	x	x
0.99	0.97	0.93	0.89	0.89	0.87
0.99	0.99	0.99	0.99	0.98	0.97
0.99	0.84	0.83	0.83	0.82	0.8
0.99	0.91	0.8	0.67	0.61	0.55
0.92	0.88	0.78	0.64	0.53	0.5
0.56	x	x	x	x	x
0.97	x	x	x	x	x
